id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,assignment_id,event_type
1,2019-09-17 12:32:20.89434,,,,,,f,,{},3TVSS0C0E3O2B8X7T4QJI69YF7ETW0,AssignmentAccepted
2,2019-09-17 12:32:31.080961,,,,,,f,,{},3U4J9857OGZNP72PLARMQW4VG967BN,AssignmentAccepted
3,2019-09-17 12:32:36.859323,,,,,,f,,{},33PPUNGG3ATTPOPK025VHV2Y8OLZRJ,AssignmentAccepted
4,2019-09-17 12:37:46.064522,,,,,,f,,{},3U4J9857OGZNP72PLARMQW4VG967BN,AssignmentReturned
5,2019-09-17 12:37:58.938165,,,,,,f,,{},3U4J9857OGZNP72PLARMQW4VG967BN,AssignmentAccepted
6,2019-09-17 12:42:38.92356,,,,,,f,,{},3TVSS0C0E3O2B8X7T4QJI69YF7ETW0,AssignmentReturned
7,2019-09-17 12:43:06.240726,,,,,,f,,{},3TVSS0C0E3O2B8X7T4QJI69YF7ETW0,AssignmentAccepted
8,2019-09-17 12:43:45.395896,,,,,,f,,{},3TVSS0C0E3O2B8X7T4QJI69YF7ETW0,AssignmentReturned
9,2019-09-17 12:43:49.193498,,,,,,f,,{},3TVSS0C0E3O2B8X7T4QJI69YF7ETW0,AssignmentAccepted
10,2019-09-17 12:50:26.230517,,,,,,f,,{},33PPUNGG3ATTPOPK025VHV2Y8OLZRJ,AssignmentReturned
11,2019-09-17 12:50:39.772089,,,,,,f,,{},33PPUNGG3ATTPOPK025VHV2Y8OLZRJ,AssignmentAccepted
12,2019-09-17 12:54:24.916509,,,,,,f,,{},3U4J9857OGZNP72PLARMQW4VG967BN,AssignmentSubmitted
13,2019-09-17 12:57:25.034875,,,,,,f,,{},33PPUNGG3ATTPOPK025VHV2Y8OLZRJ,AssignmentReturned
14,2019-09-17 12:57:32.937227,,,,,,f,,{},33PPUNGG3ATTPOPK025VHV2Y8OLZRJ,AssignmentAccepted
15,2019-09-17 13:03:44.094281,,,,,,f,,{},3TVSS0C0E3O2B8X7T4QJI69YF7ETW0,AssignmentSubmitted
16,2019-09-17 13:07:23.122998,,,,,,f,,{},33PPUNGG3ATTPOPK025VHV2Y8OLZRJ,AssignmentReturned
17,2019-09-17 13:08:25.541515,,,,,,f,,{},3KJYX6QCMBZVIG1XR07JUY3BAX6JVY,AssignmentAccepted
18,2019-09-17 13:11:01.649246,,,,,,f,,{},3KJYX6QCMBZVIG1XR07JUY3BAX6JVY,AssignmentReturned
19,2019-09-17 13:11:05.62062,,,,,,f,,{},3KJYX6QCMBZVIG1XR07JUY3BAX6JVY,AssignmentAccepted
20,2019-09-17 13:41:26.30066,,,,,,f,,{},3KJYX6QCMBZVIG1XR07JUY3BAX6JVY,AssignmentAbandoned
21,2019-09-17 13:41:47.878937,,,,,,f,,{},3KJYX6QCMBZVIG1XR07JUY3BAX6JVY,AssignmentAccepted
22,2019-09-17 13:48:17.209375,,,,,,f,,{},3KJYX6QCMBZVIG1XR07JUY3BAX6JVY,AssignmentSubmitted
23,2019-09-17 13:48:27.108945,,,,,,f,,{},3PW9OPU9PS8FQ8NRD1H2OTAEJJ421Y,AssignmentAccepted
24,2019-09-17 13:48:27.355736,,,,,,f,,{},3EJJQNKU9TT7Y3PQUGZOHOYTC0FHRQ,AssignmentAccepted
25,2019-09-17 13:48:33.686682,,,,,,f,,{},3EFE17QCRETJZIP395ZT7Y3PY2YHSE,AssignmentAccepted
26,2019-09-17 13:52:43.130583,,,,,,f,,{},3EFE17QCRETJZIP395ZT7Y3PY2YHSE,AssignmentReturned
27,2019-09-17 13:53:19.81172,,,,,,f,,{},3EFE17QCRETJZIP395ZT7Y3PY2YHSE,AssignmentAccepted
28,2019-09-17 13:56:58.051232,,,,,,f,,{},3EJJQNKU9TT7Y3PQUGZOHOYTC0FHRQ,AssignmentReturned
29,2019-09-17 13:57:10.080109,,,,,,f,,{},3EJJQNKU9TT7Y3PQUGZOHOYTC0FHRQ,AssignmentAccepted
30,2019-09-17 14:08:57.453607,,,,,,f,,{},3EJJQNKU9TT7Y3PQUGZOHOYTC0FHRQ,AssignmentSubmitted
31,2019-09-17 14:11:49.269227,,,,,,f,,{},3PW9OPU9PS8FQ8NRD1H2OTAEJJ421Y,AssignmentSubmitted
32,2019-09-17 14:12:14.108394,,,,,,f,,{},3DOCMVPBTP2ET1J947DKDOQFXFCNNU,AssignmentAccepted
33,2019-09-17 14:17:01.286225,,,,,,f,,{},3EFE17QCRETJZIP395ZT7Y3PY2YHSE,AssignmentReturned
34,2019-09-17 14:17:01.296839,,,,,,f,,{},3EFE17QCRETJZIP395ZT7Y3PY2YHSE,AssignmentAccepted
35,2019-09-17 14:24:27.778835,,,,,,f,,{},3EFE17QCRETJZIP395ZT7Y3PY2YHSE,AssignmentSubmitted
36,2019-09-17 14:30:46.744052,,,,,,f,,{},3DOCMVPBTP2ET1J947DKDOQFXFCNNU,AssignmentSubmitted
